"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g30-39","Home / Hombre",13.4,26151,0.3,11,20210605,"2021-06-18"
"g40-49","Home / Hombre",17.2,33420,1.3,56,20210605,"2021-06-18"
"g50-59","Home / Hombre",15.3,29736,4.7,194,20210605,"2021-06-18"
"g60-69","Home / Hombre",10.5,20524,13.8,577,20210605,"2021-06-18"
"g70-79","Home / Hombre",6.7,13046,28.2,1174,20210605,"2021-06-18"
"g80-89","Home / Hombre",3.9,7563,37.7,1573,20210605,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1700,13.9,581,20210605,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14733,0,0,20210604,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22157,0.1,2,20210604,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27219,0,1,20210604,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29352,0.2,7,20210604,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36395,0.7,24,20210604,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32041,2.2,73,20210604,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20663,5.9,193,20210604,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14025,18.6,610,20210604,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11205,44.3,1450,20210604,"2021-06-18"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210604,"2021-06-18"
"g0-9","Home / Hombre",7.7,15086,0,0,20210604,"2021-06-18"
"g10-19","Home / Hombre",11.4,22286,0,1,20210604,"2021-06-18"
"g20-29","Home / Hombre",13,25212,0.1,3,20210604,"2021-06-18"
"g30-39","Home / Hombre",13.4,26125,0.3,11,20210604,"2021-06-18"
"g40-49","Home / Hombre",17.2,33403,1.3,56,20210604,"2021-06-18"
"g50-59","Home / Hombre",15.3,29724,4.7,194,20210604,"2021-06-18"
"g60-69","Home / Hombre",10.5,20520,13.8,577,20210604,"2021-06-18"
"g70-79","Home / Hombre",6.7,13044,28.2,1174,20210604,"2021-06-18"
"g80-89","Home / Hombre",3.9,7561,37.7,1573,20210604,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1700,13.9,581,20210604,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14728,0,0,20210603,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22142,0.1,2,20210603,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27200,0,1,20210603,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29327,0.2,7,20210603,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36383,0.7,24,20210603,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32023,2.2,73,20210603,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20656,5.9,193,20210603,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14021,18.7,610,20210603,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11203,44.3,1449,20210603,"2021-06-18"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210603,"2021-06-18"
"g0-9","Home / Hombre",7.7,15078,0,0,20210603,"2021-06-18"
"g10-19","Home / Hombre",11.4,22273,0,1,20210603,"2021-06-18"
"g20-29","Home / Hombre",12.9,25189,0.1,3,20210603,"2021-06-18"
"g30-39","Home / Hombre",13.4,26109,0.3,11,20210603,"2021-06-18"
"g40-49","Home / Hombre",17.2,33389,1.3,56,20210603,"2021-06-18"
"g50-59","Home / Hombre",15.3,29713,4.7,194,20210603,"2021-06-18"
"g60-69","Home / Hombre",10.5,20515,13.8,577,20210603,"2021-06-18"
"g70-79","Home / Hombre",6.7,13042,28.1,1174,20210603,"2021-06-18"
"g80-89","Home / Hombre",3.9,7560,37.7,1574,20210603,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1700,13.9,581,20210603,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14721,0,0,20210602,"2021-06-18"
