"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-06-03,"g10-19","Mujer",1.3,122,0.2,1,"2021-07-15",3,0,0,0,25,0,5067031
2020-06-03,"g20-29","Mujer",7.5,693,0,0,"2021-07-15",7,0,0,0,34,0,5067031
2020-06-03,"g30-39","Mujer",12.2,1121,0.2,1,"2021-07-15",9,0,0,0,57,0,5067031
2020-06-03,"g40-49","Mujer",16.3,1497,0.6,4,"2021-07-15",13,0,0,0,80,0,5067031
2020-06-03,"g50-59","Mujer",18.2,1670,2.2,14,"2021-07-15",10,0,0,0,60,1,5067031
2020-06-03,"g60-69","Mujer",13.5,1237,6.7,43,"2021-07-15",10,0,0,0,54,1,5067031
2020-06-03,"g70-79","Mujer",10.9,1006,19.3,124,"2021-07-15",3,0,0,0,32,0,5067031
2020-06-03,"g80-89","Mujer",12.9,1183,45.3,291,"2021-07-15",4,1,0,0,18,5,5067031
2020-06-03,"g90 o mas","Mujer",6.5,598,25.7,165,"2021-07-15",-1,2,0,0,7,5,5067031
2020-06-04,"g0-9","Hombre",1.1,78,0,0,"2021-07-15",1,0,0,0,14,0,5067031
2020-06-04,"g10-19","Hombre",1.5,107,0,0,"2021-07-15",3,0,0,0,25,0,5067031
2020-06-04,"g20-29","Hombre",5.3,388,0.1,1,"2021-07-15",2,0,0,0,23,0,5067031
2020-06-04,"g30-39","Hombre",10.9,797,0.8,6,"2021-07-15",11,0,0,0,47,0,5067031
2020-06-04,"g40-49","Hombre",15.6,1141,0.9,7,"2021-07-15",11,0,0,0,51,0,5067031
2020-06-04,"g50-59","Hombre",17.4,1272,3.5,28,"2021-07-15",12,1,0,0,51,1,5067031
2020-06-04,"g60-69","Hombre",17.7,1292,13.7,109,"2021-07-15",4,1,0,0,42,3,5067031
2020-06-04,"g70-79","Hombre",16,1165,32.7,261,"2021-07-15",4,0,0,0,25,1,5067031
2020-06-04,"g80-89","Hombre",11.5,839,36.5,291,"2021-07-15",3,0,0,0,11,2,5067031
2020-06-04,"g90 o mas","Hombre",3,221,11.9,95,"2021-07-15",0,0,0,0,0,0,5067031
2020-06-04,"g0-9","Mujer",0.7,64,0,0,"2021-07-15",3,0,0,0,8,0,5067031
2020-06-04,"g10-19","Mujer",1.3,124,0.2,1,"2021-07-15",2,0,0,0,25,0,5067031
2020-06-04,"g20-29","Mujer",7.6,705,0,0,"2021-07-15",12,0,0,0,42,0,5067031
2020-06-04,"g30-39","Mujer",12.2,1131,0.2,1,"2021-07-15",10,0,0,0,56,0,5067031
2020-06-04,"g40-49","Mujer",16.3,1513,0.6,4,"2021-07-15",16,0,0,0,72,0,5067031
2020-06-04,"g50-59","Mujer",18.1,1681,2.2,14,"2021-07-15",11,0,0,0,60,1,5067031
2020-06-04,"g60-69","Mujer",13.5,1250,6.7,43,"2021-07-15",13,0,0,0,56,1,5067031
2020-06-04,"g70-79","Mujer",10.9,1014,19.5,126,"2021-07-15",8,2,0,0,33,2,5067031
2020-06-04,"g80-89","Mujer",12.8,1188,45,291,"2021-07-15",5,0,0,0,20,2,5067031
2020-06-04,"g90 o mas","Mujer",6.5,600,25.7,166,"2021-07-15",2,1,0,0,7,6,5067031
2020-06-05,"g0-9","Hombre",1.1,79,0,0,"",1,0,0,0,12,0,5067031
2020-06-05,"g10-19","Hombre",1.5,107,0,0,"",0,0,0,0,20,0,5067031
2020-06-05,"g20-29","Hombre",5.3,389,0.1,1,"",1,0,0,0,19,0,5067031
2020-06-05,"g30-39","Hombre",10.9,803,0.8,6,"",6,0,0,0,47,0,5067031
2020-06-05,"g40-49","Hombre",15.7,1153,0.9,7,"",12,0,0,0,53,0,5067031
2020-06-05,"g50-59","Hombre",17.5,1285,3.4,27,"",13,-1,0,0,53,0,5067031
2020-06-05,"g60-69","Hombre",17.7,1297,13.6,109,"",5,0,0,0,36,3,5067031
2020-06-05,"g70-79","Hombre",15.9,1172,32.8,262,"",7,1,0,0,30,2,5067031
2020-06-05,"g80-89","Hombre",11.5,842,36.5,292,"",3,1,0,0,14,3,5067031
2020-06-05,"g90 o mas","Hombre",3,221,11.9,95,"",0,0,0,0,0,0,5067031
2020-06-05,"g0-9","Mujer",0.7,67,0,0,"2021-07-15",3,0,0,0,11,0,5067031
2020-06-05,"g10-19","Mujer",1.4,127,0.2,1,"2021-07-15",3,0,0,0,21,0,5067031
2020-06-05,"g20-29","Mujer",7.6,708,0,0,"2021-07-15",3,0,0,0,40,0,5067031
2020-06-05,"g30-39","Mujer",12.2,1139,0.2,1,"2021-07-15",8,0,0,0,51,0,5067031
2020-06-05,"g40-49","Mujer",16.4,1527,0.6,4,"2021-07-15",14,0,0,0,71,0,5067031
2020-06-05,"g50-59","Mujer",18.1,1688,2.2,14,"2021-07-15",7,0,0,0,57,0,5067031
2020-06-05,"g60-69","Mujer",13.5,1256,6.7,43,"2021-07-15",6,0,0,0,49,0,5067031
2020-06-05,"g70-79","Mujer",11,1023,19.4,125,"2021-07-15",9,-1,0,0,40,1,5067031
2020-06-05,"g80-89","Mujer",12.8,1192,45.1,291,"2021-07-15",4,0,0,0,21,1,5067031
2020-06-05,"g90 o mas","Mujer",6.4,601,25.7,166,"2021-07-15",1,0,0,0,6,5,5067031
2020-06-06,"g0-9","Hombre",1.1,80,0,0,"",1,0,0,0,13,0,5067031
2020-06-06,"g10-19","Hombre",1.5,109,0,0,"",2,0,0,0,20,0,5067031
2020-06-06,"g20-29","Hombre",5.3,393,0.1,1,"",4,0,0,0,21,0,5067031
2020-06-06,"g30-39","Hombre",10.9,804,0.8,6,"",1,0,0,0,43,0,5067031
2020-06-06,"g40-49","Hombre",15.7,1157,0.9,7,"",4,0,0,0,53,0,5067031
2020-06-06,"g50-59","Hombre",17.6,1297,3.4,27,"",12,0,0,0,61,0,5067031
2020-06-06,"g60-69","Hombre",17.6,1297,13.6,109,"",0,0,0,0,31,2,5067031
2020-06-06,"g70-79","Hombre",15.9,1175,32.8,262,"",3,0,0,0,28,2,5067031
2020-06-06,"g80-89","Hombre",11.4,842,36.5,292,"",0,0,0,0,12,3,5067031
2020-06-06,"g90 o mas","Hombre",3,221,11.9,95,"",0,0,0,0,0,0,5067031
2020-06-06,"g0-9","Mujer",0.7,69,0,0,"2021-07-15",2,0,0,0,10,0,5067031
2020-06-06,"g10-19","Mujer",1.4,128,0.2,1,"2021-07-15",1,0,0,0,21,0,5067031
2020-06-06,"g20-29","Mujer",7.6,716,0,0,"2021-07-15",8,0,0,0,43,0,5067031
2020-06-06,"g30-39","Mujer",12.2,1145,0.2,1,"2021-07-15",6,0,0,0,54,0,5067031
2020-06-06,"g40-49","Mujer",16.4,1534,0.6,4,"2021-07-15",7,0,0,0,73,0,5067031
